# File: L201.LaborProductivity_GCAMINDIA.csv
# Title:INDIA value written to all states
# Units: NA
# Column types: cnn
# --------
region,year,laborproductivity
AP,1990,0.02406
AR,1990,0.02406
AS,1990,0.02406
BR,1990,0.02406
CG,1990,0.02406
DL,1990,0.02406
GA,1990,0.02406
GJ,1990,0.02406
HR,1990,0.02406
HP,1990,0.02406
JK,1990,0.02406
JH,1990,0.02406
KA,1990,0.02406
KL,1990,0.02406
MP,1990,0.02406
MH,1990,0.02406
MN,1990,0.02406
ML,1990,0.02406
MZ,1990,0.02406
NL,1990,0.02406
OD,1990,0.02406
PB,1990,0.02406
RJ,1990,0.02406
SK,1990,0.02406
TN,1990,0.02406
TS,1990,0.02406
TR,1990,0.02406
UP,1990,0.02406
UK,1990,0.02406
WB,1990,0.02406
CH,1990,0.02406
DD,1990,0.02406
DN,1990,0.02406
LA,1990,0.02406
LD,1990,0.02406
AN,1990,0.02406
PC,1990,0.02406
AP,2005,0.04181
AR,2005,0.04181
AS,2005,0.04181
BR,2005,0.04181
CG,2005,0.04181
DL,2005,0.04181
GA,2005,0.04181
GJ,2005,0.04181
HR,2005,0.04181
HP,2005,0.04181
JK,2005,0.04181
JH,2005,0.04181
KA,2005,0.04181
KL,2005,0.04181
MP,2005,0.04181
MH,2005,0.04181
MN,2005,0.04181
ML,2005,0.04181
MZ,2005,0.04181
NL,2005,0.04181
OD,2005,0.04181
PB,2005,0.04181
RJ,2005,0.04181
SK,2005,0.04181
TN,2005,0.04181
TS,2005,0.04181
TR,2005,0.04181
UP,2005,0.04181
UK,2005,0.04170
WB,2005,0.04181
CH,2005,0.04181
DD,2005,0.04181
DN,2005,0.04181
LA,2005,0.04181
LD,2005,0.04181
AN,2005,0.04181
PC,2005,0.04181
AP,2010,0.06086
AR,2010,0.06086
AS,2010,0.06086
BR,2010,0.06086
CG,2010,0.06086
DL,2010,0.06086
GA,2010,0.06086
GJ,2010,0.06086
HR,2010,0.06086
HP,2010,0.06086
JK,2010,0.06086
JH,2010,0.06086
KA,2010,0.06086
KL,2010,0.06086
MP,2010,0.06086
MH,2010,0.06086
MN,2010,0.06086
ML,2010,0.06086
MZ,2010,0.06086
NL,2010,0.06086
OD,2010,0.06086
PB,2010,0.06086
RJ,2010,0.041889775
SK,2010,0.06086
TN,2010,0.06086
TS,2010,0.06086
TR,2010,0.06086
UP,2010,0.06086
UK,2010,0.05520
WB,2010,0.06086
CH,2010,0.06086
DD,2010,0.06086
DN,2010,0.06086
LA,2010,0.06086
LD,2010,0.06086
AN,2010,0.06086
PC,2010,0.06086
AP,2015,0.05302
AR,2015,0.05302
AS,2015,0.05302
BR,2015,0.05302
CG,2015,0.05302
DL,2015,0.05302
GA,2015,0.05302
GJ,2015,0.05302
HR,2015,0.05302
HP,2015,0.05302
JK,2015,0.05302
JH,2015,0.05302
KA,2015,0.05302
KL,2015,0.05302
MP,2015,0.05302
MH,2015,0.05302
MN,2015,0.05302
ML,2015,0.05302
MZ,2015,0.05302
NL,2015,0.05302
OD,2015,0.05302
PB,2015,0.05302
RJ,2015,0.05551738
SK,2015,0.05302
TN,2015,0.05302
TS,2015,0.05302
TR,2015,0.05302
UP,2015,0.05302
UK,2015,0.07255
WB,2015,0.05302
CH,2015,0.05302
DD,2015,0.05302
DN,2015,0.05302
LA,2015,0.05302
LD,2015,0.05302
AN,2015,0.05302
PC,2015,0.05302
AP,2020,0.05145
AR,2020,0.05145
AS,2020,0.05145
BR,2020,0.05145
CG,2020,0.05145
DL,2020,0.05145
GA,2020,0.05145
GJ,2020,0.05145
HR,2020,0.05145
HP,2020,0.05145
JK,2020,0.05145
JH,2020,0.05145
KA,2020,0.05145
KL,2020,0.05145
MP,2020,0.05145
MH,2020,0.05145
MN,2020,0.05145
ML,2020,0.05145
MZ,2020,0.05145
