# File: L201.LaborProductivity_GCAMINDIA.csv
# Title:INDIA value written to all states
# Units: NA
# Column types: cnn
# --------
region,year,laborproductivity
AP,1990,0.02406
AR,1990,0.02406
AS,1990,0.02406
BR,1990,0.02406
CG,1990,0.02406
DL,1990,0.02406
GA,1990,0.02406
GJ,1990,0.02406
HR,1990,0.02406
HP,1990,0.02406
JK,1990,0.02406
JH,1990,0.02406
KA,1990,0.02406
KL,1990,0.02406
MP,1990,0.02406
MH,1990,0.02406
MN,1990,0.02406
ML,1990,0.02406
MZ,1990,0.02406
NL,1990,0.02406
OD,1990,0.02406
PB,1990,0.02406
RJ,1990,0.02406
SK,1990,0.02406
TN,1990,0.02406
TS,1990,0.02406
TR,1990,0.02406
UP,1990,0.02406
UK,1990,0.02406
WB,1990,0.02406
CH,1990,0.02406
DD,1990,0.02406
DN,1990,0.02406
LA,1990,0.02406
LD,1990,0.02406
AN,1990,0.02406
PC,1990,0.02406
AP,2005,0.04181
AR,2005,0.04181
AS,2005,0.04181
BR,2005,0.04181
CG,2005,0.04181
DL,2005,0.04181
GA,2005,0.04181
GJ,2005,0.04181
HR,2005,0.04181
HP,2005,0.04181
JK,2005,0.04181
JH,2005,0.04181
KA,2005,0.04181
KL,2005,0.04181
MP,2005,0.04181
MH,2005,0.04181
MN,2005,0.04181
ML,2005,0.04181
MZ,2005,0.04181
NL,2005,0.04181
OD,2005,0.04181
PB,2005,0.04181
RJ,2005,0.04181
SK,2005,0.04181
TN,2005,0.04181
TS,2005,0.04181
TR,2005,0.04181
UP,2005,0.04181
UK,2005,0.04181
WB,2005,0.04181
CH,2005,0.04181
DD,2005,0.04181
DN,2005,0.04181
LA,2005,0.04181
LD,2005,0.04181
AN,2005,0.04181
PC,2005,0.04181
AN,2010,0.133032488
AN,2015,0.049221202
AN,2020,0.086270079
AN,2025,0.050012059
AN,2030,0.099586605
AN,2035,0.097106223
AN,2040,0.072774176
AN,2045,0.06859553
AN,2050,0.063977394
AN,2055,0.066355457
AN,2060,0.062126079
AN,2065,0.063220278
AN,2070,0.057725292
AN,2075,0.056816056
AN,2080,0.059147816
AN,2085,0.054861482
AN,2090,0.053164326
AN,2095,0.052565977
AN,2100,0.050435874
AP,2010,0.032056175
AP,2015,0.013316194
AP,2020,0.037504499
AP,2025,0.039241667
AP,2030,0.036183588
AP,2035,0.039306342
AP,2040,0.035591406
AP,2045,0.030266052
AP,2050,0.033356508
AP,2055,0.033532658
AP,2060,0.027501458
AP,2065,0.026819816
AP,2070,0.019974965
AP,2075,0.017755751
AP,2080,0.018851866
AP,2085,0.013779921
AP,2090,0.011400206
AP,2095,0.010276899
AP,2100,0.007885741
AR,2010,0.035061196
AR,2015,0.063311339
AR,2020,0.086059154
AR,2025,0.089225237
AR,2030,0.095794701
AR,2035,0.099097882
AR,2040,0.092907837
AR,2045,0.095528916
AR,2050,0.096853036
AR,2055,0.095238797
AR,2060,0.097774052
AR,2065,0.095566038
AR,2070,0.097612853
AR,2075,0.094074153
AR,2080,0.094267985
AR,2085,0.098780901
AR,2090,0.095554724
AR,2095,0.093863928
AR,2100,0.090975488
AS,2010,0.034521609
AS,2015,0.016373801
AS,2020,0.037373303
AS,2025,0.036785168
AS,2030,0.031517777
AS,2035,0.032536697
AS,2040,0.030268948
AS,2045,0.027096974
AS,2050,0.023196634
AS,2055,0.026847095
AS,2060,0.025062791
AS,2065,0.01936319
AS,2070,0.018137929
AS,2075,0.01225038
AS,2080,0.010340708
AS,2085,0.012930604
AS,2090,0.008908881
AS,2095,0.006833005
AS,2100,0.004187398
BR,2010,0.060849933
BR,2015,0.067415451
BR,2020,0.046822744
BR,2025,0.035944737
BR,2030,0.024642062
BR,2035,0.023820774
BR,2040,0.021163993
BR,2045,0.01906239
BR,2050,0.016413095
BR,2055,0.011662712
