# File: A23.india_state_solar.csv
# Title: India solar resources by state
# Units: maxResource in EJ; Base Cost in 2007INR/kWh
# Source: max resource estimated
# Column types: cnnnn
# ----------
region,maxResource,mid_price,curve_exponent,base_cost
AP,4.84,1.11111E-05,100,1
AR,0.03,1.11111E-05,100,1
AS,1.19,1.11111E-05,100,1
BR,2.59,1.11111E-05,100,1
CG,5.22,1.11111E-05,100,1
DL,0.04,1.11111E-05,100,1
GA,0.11,1.11111E-05,100,1
GJ,6.73,1.11111E-05,100,1
HR,1.38,1.11111E-05,100,1
HP,0.49,1.11111E-05,100,1
JK,2.41,1.11111E-05,100,1
JH,2.71,1.11111E-05,100,1
KA,5.94,1.11111E-05,100,1
KL,0.6,1.11111E-05,100,1
MP,9.9,1.11111E-05,100,1
MH,10.86,1.11111E-05,100,1
MN,0.05,1.11111E-05,100,1
ML,0.12,1.11111E-05,100,1
MZ,0,1.11111E-05,100,1
NL,0.01,1.11111E-05,100,1
OD,4.73,1.11111E-05,100,1
PB,1.55,1.11111E-05,100,1
RJ,20.51,1.11111E-05,100,1
SK,0,1.11111E-05,100,1
TN,3.25,1.11111E-05,100,1
TS,3.77,1.11111E-05,100,1
TR,0.05,1.11111E-05,100,1
UP,6.92,1.11111E-05,100,1
UK,0.33,1.11111E-05,100,1
WB,2.25,1.11111E-05,100,1
AN,0,1.11111E-05,100,1
CH,0,1.11111E-05,100,1
DD,0.02,1.11111E-05,100,1
DN,0.02,1.11111E-05,100,1
LA,0,1.11111E-05,100,1
LD,0,1.11111E-05,100,1
PC,0.02,1.11111E-05,100,1
