INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
IncomeElasticity,,,,,,,
,,,,,,,
region,energy.final.demand,year,income.elasticity,,,,
AN,Agriculture,2015,0.3,,,,
AN,Agriculture,2025,0.822118858,,,,
AN,Agriculture,2030,0.806916024,,,,
AN,Agriculture,2035,0.780159276,,,,
AN,Agriculture,2040,0.766865049,,,,
AN,Agriculture,2045,0.757281015,,,,
AN,Agriculture,2050,0.755162014,,,,
AN,Agriculture,2055,0.644998026,,,,
AN,Agriculture,2060,0.634023508,,,,
AN,Agriculture,2065,0.612659757,,,,
AN,Agriculture,2070,0.610380111,,,,
AN,Agriculture,2075,0.590960971,,,,
AN,Agriculture,2080,0.571341231,,,,
AN,Agriculture,2085,0.604751195,,,,
AN,Agriculture,2090,0.584612149,,,,
AN,Agriculture,2095,0.560459999,,,,
AN,Agriculture,2100,0.543416033,,,,
AP,Agriculture,2015,0.3,,,,
AP,Agriculture,2025,0.822118896,,,,
AP,Agriculture,2030,0.806915764,,,,
AP,Agriculture,2035,0.780159642,,,,
AP,Agriculture,2040,0.767035022,,,,
AP,Agriculture,2045,0.757490666,,,,
AP,Agriculture,2050,0.730244076,,,,
AP,Agriculture,2055,0.645088996,,,,
AP,Agriculture,2060,0.634324946,,,,
AP,Agriculture,2065,0.61235738,,,,
AP,Agriculture,2070,0.610063965,,,,
AP,Agriculture,2075,0.590965966,,,,
AP,Agriculture,2080,0.571907479,,,,
AP,Agriculture,2085,0.604762251,,,,
AP,Agriculture,2090,0.583570824,,,,
AP,Agriculture,2095,0.562467517,,,,
AP,Agriculture,2100,0.541439902,,,,
AR,Agriculture,2015,0.3,,,,
AR,Agriculture,2025,0.821591934,,,,
AR,Agriculture,2030,0.796004931,,,,
AR,Agriculture,2035,0.780639601,,,,
AR,Agriculture,2040,0.766371789,,,,
AR,Agriculture,2045,0.740684438,,,,
AR,Agriculture,2050,0.729694546,,,,
AR,Agriculture,2055,0.645350081,,,,
AR,Agriculture,2060,0.623852203,,,,
AR,Agriculture,2065,0.611848829,,,,
AR,Agriculture,2070,0.590791549,,,,
AR,Agriculture,2075,0.591456406,,,,
AR,Agriculture,2080,0.570924026,,,,
AR,Agriculture,2085,0.552087671,,,,
AR,Agriculture,2090,0.582500453,,,,
AR,Agriculture,2095,0.560091812,,,,
AR,Agriculture,2100,0.538627921,,,,
AS,Agriculture,2015,0.3,,,,
AS,Agriculture,2025,0.812641711,,,,
AS,Agriculture,2030,0.795593994,,,,
AS,Agriculture,2035,0.769626983,,,,
AS,Agriculture,2040,0.753956319,,,,
AS,Agriculture,2045,0.740436201,,,,
AS,Agriculture,2050,0.730232998,,,,
AS,Agriculture,2055,0.638341694,,,,
AS,Agriculture,2060,0.623567925,,,,
AS,Agriculture,2065,0.612355959,,,,
AS,Agriculture,2070,0.590434357,,,,
AS,Agriculture,2075,0.590960076,,,,
AS,Agriculture,2080,0.571916195,,,,
AS,Agriculture,2085,0.552904182,,,,
AS,Agriculture,2090,0.583572955,,,,
AS,Agriculture,2095,0.562487376,,,,
AS,Agriculture,2100,0.541410653,,,,
BR,Agriculture,2015,0.3,,,,
BR,Agriculture,2025,0.812641693,,,,
BR,Agriculture,2030,0.795594116,,,,
BR,Agriculture,2035,0.769626925,,,,
BR,Agriculture,2040,0.753957299,,,,
BR,Agriculture,2045,0.740431903,,,,
BR,Agriculture,2050,0.730237799,,,,
BR,Agriculture,2055,0.645088357,,,,
BR,Agriculture,2060,0.623567666,,,,
BR,Agriculture,2065,0.612358517,,,,
BR,Agriculture,2070,0.590436825,,,,
BR,Agriculture,2075,0.590959319,,,,
BR,Agriculture,2080,0.571909921,,,,
BR,Agriculture,2085,0.604769997,,,,
BR,Agriculture,2090,0.583568511,,,,
BR,Agriculture,2095,0.562474726,,,,
BR,Agriculture,2100,0.541445257,,,,
CG,Agriculture,2015,0.3,,,,
CG,Agriculture,2025,0.812642055,,,,
CG,Agriculture,2030,0.786787726,,,,
CG,Agriculture,2035,0.769627098,,,,
CG,Agriculture,2040,0.753957801,,,,
CG,Agriculture,2045,0.740426104,,,,
CG,Agriculture,2050,0.730240529,,,,
CG,Agriculture,2055,0.638342372,,,,
CG,Agriculture,2060,0.62356834,,,,
CG,Agriculture,2065,0.602074685,,,,
CG,Agriculture,2070,0.590437611,,,,
CG,Agriculture,2075,0.572128519,,,,
CG,Agriculture,2080,0.571905506,,,,
CG,Agriculture,2085,0.552914353,,,,
CG,Agriculture,2090,0.533952451,,,,
CG,Agriculture,2095,0.562424201,,,,
CG,Agriculture,2100,0.541487662,,,,
CH,Agriculture,2015,0.3,,,,
CH,Agriculture,2025,0.822118387,,,,
CH,Agriculture,2030,0.795594163,,,,
CH,Agriculture,2035,0.780159652,,,,
CH,Agriculture,2040,0.767060487,,,,
CH,Agriculture,2045,0.740319515,,,,
CH,Agriculture,2050,0.730356587,,,,
CH,Agriculture,2055,0.645053755,,,,
CH,Agriculture,2060,0.623634718,,,,
CH,Agriculture,2065,0.612347043,,,,
CH,Agriculture,2070,0.590457945,,,,
CH,Agriculture,2075,0.590766774,,,,
CH,Agriculture,2080,0.571931157,,,,
